"","X1","site_no","site_nm","huc_cd","huc4","site_lab","huc4_nm"
"1",1,"06768000","Platte River Near Overton, NE","10200101","1020","1","Platte"
"2",2,"06805500","Platte River At Louisville, NE","10200202","1020","2","Platte"
"3",3,"06775900","Dismal River Near Thedford, NE","10210002","1021","3","Loup"
"4",4,"06794000","Beaver Creek At Genoa, NE","10210009","1021","4","Loup"
"5",5,"06800000","Maple Creek Near Nickerson, NE","10220003","1022","5","Elkhorn"
"6",6,"06800500","Elkhorn River At Waterloo, NE","10220003","1022","6","Elkhorn"
"7",7,"06610000","Missouri River At Omaha, NE","10230006","1023","7","Missouri-Little Sioux"
"8",8,"06609500","Boyer River At Logan, IA","10230007","1023","8","Missouri-Little Sioux"
"9",9,"06810000","Nishnabotna River Above Hamburg, IA","10240004","1024","9","Missouri-Nishnabotna"
"10",10,"06818000","Missouri River At St. Joseph, MO","10240011","1024","10","Missouri-Nishnabotna"
"11",11,"06844500","Republican River Near Orleans, NE","10250009","1025","11","Republican"
"12",12,"06856600","Republican R At Clay Center, KS","10250017","1025","12","Republican"
"13",13,"06877600","Smoky Hill R At Enterprise, KS","10260008","1026","13","Smoky Hill"
"14",14,"06874000","Sf Solomon R At Osborne, KS","10260014","1026","14","Smoky Hill"
"15",15,"06887500","Kansas R At Wamego, KS","10270102","1027","15","Kansas"
"16",16,"06892350","Kansas R At Desoto, KS","10270104","1027","16","Kansas"
"17",17,"06902000","Grand River Near Sumner, MO","10280103","1028","17","Chariton-Grand"
"18",18,"06905500","Chariton River Near Prairie Hill, MO","10280202","1028","18","Chariton-Grand"
"19",19,"06921070","Pomme De Terre River Near Polk, MO","10290107","1029","19","Gasconade-Osage"
"20",20,"06926510","Osage River Below St. Thomas, MO","10290111","1029","20","Gasconade-Osage"
"21",21,"06894000","Little Blue River Near Lake City, MO","10300101","1030","21","Lower Missouri"
"22",22,"06934500","Missouri River At Hermann, MO","10300200","1030","22","Lower Missouri"
